,Actual,Predicted
105,8001,33734.38820951719
108,53449,33157.917011607875
142,15512,29133.079109165006
55,2800,24434.961800225363
94,871,33738.24984902412
29,7100,72891.60530834337
101,13586,24866.086155128753
51,907,48322.713536761556
100,24206,22642.40434870175
143,9085,24488.282691745222
19,55000,21449.140078973116
84,45455,27192.682635213285
15,67300,23172.873730619118
66,1200,76947.4925633568
24,2400,26241.348995832897
30,14000,21022.39377768517
128,36707,25099.844663972865
148,35392,33604.464991925066
98,12269,33188.40531106561
16,60100,21918.318549609463
75,35691,26845.569573030465
18,37000,41364.37772345813
12,20000,50850.76192365743
9,35000,24147.77018923882
31,3000,22198.370867308902
152,1824,33728.52848519443
97,23832,31716.154479533197
56,3300,21651.355140640288
132,49421,33809.710966625105
104,32248,27796.386798302334
137,19828,22658.748591710024
78,30756,28200.06547810656
60,1800,23062.235777947735
